port_id,canonical_port_name,source_port_name,source_name_variants,un_locode,latitude,longitude,country,liquid_bulk_facility,oil_terminal_facility,source_dataset,mapping_status,mapping_method,source_record_key,world_port_index_number,source_unlocode_status
port-4cbd3879645dac45799b,Haldia Port,Haldia Port,Haldia;Haldia Port,IN HAL,22.016667,88.083333,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0031,49555.0,UNIQUE_IN_SOURCE
port-4f1934b24407cabc864e,Kolachel,Kolachel,Kolachel,,8.166667,77.25,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0055,49180.0,MISSING
port-5066797b333fe76f36f7,Trivandrum,Trivandrum,Trivandrum,IN TRV,8.483333,76.95,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0054,49170.0,UNIQUE_IN_SOURCE
port-56639d8e695fa228aef3,Belekeri,Belekeri,Belekeri,IN BLK,14.7,74.266667,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0044,49000.0,UNIQUE_IN_SOURCE
port-57f35d3b4c64a3da6b19,Port Blair,Port Blair,Port Blair,IN IXZ,11.67777778,92.73333333,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0057,49720.0,UNIQUE_IN_SOURCE
port-64624485ed615624d35d,Nagappattinam,Nagappattinam,Nagappattinam,IN NPT,10.766667,79.85,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0045,49350.0,UNIQUE_IN_SOURCE
port-686ca2501d5e3ea23769,Hazira,Hazira,Hazira,IN HZA,21.083333,72.633333,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0004,48790.0,UNIQUE_IN_SOURCE
port-6b8b2e5c6ef29c5f9573,Kakinada,Kakinada,Kakinada,,,,India,,,india_daily_port_activity_2019_2024.csv,MANUAL_REVIEW,unresolved_port_alias,port529,,MISSING
port-7ccb7d8a387c142e3f0c,Cuddalore,Cuddalore,Cuddalore,IN CDL,11.716667,79.766667,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0026,49410.0,UNIQUE_IN_SOURCE
port-88f01190b4a80ba20df5,Gopalpur,Gopalpur,Gopalpur,IN GPR,19.30194444,84.96666667,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0039,49500.0,UNIQUE_IN_SOURCE
port-8ee2cf3cc9d4dce40cb2,Honavar,Honavar,Honavar,,14.28333333,74.45,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0017,49010.0,MISSING
port-906d1268a74191acac1d,Jawaharlal Nehru Port (Nhava Shiva),Jawaharlal Nehru Port (Nhava Shiva),Jawaharlal Nehru Port (Nhava Shiva);Mumbai-Jawaharlal Nehru (Nhava Sheva),IN NSA,18.95,72.95,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0029,48845.0,UNIQUE_IN_SOURCE
port-971812e9e27eb12158b9,Krishnapatnam,Krishnapatnam,Krishnapatnam;Krishnapatnam Port,INKRI,14.25,80.13333333,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0018,49455.0,DUPLICATE
port-9b61088588cd94fb2a8d,Beypore,Beypore,Beypore,IN BEY,11.166667,75.8,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0042,49110.0,UNIQUE_IN_SOURCE
port-9e0358499a29042c4276,Quilon (Kollam),Quilon (Kollam),Quilon (Kollam),IN QUI,8.871944444,76.58388889,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0052,49160.0,UNIQUE_IN_SOURCE
port-9f9cc159703727271039,Marmagao,Marmagao,Marmagao;Mormugao,IN MRM,15.4175,73.795,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0040,48970.0,UNIQUE_IN_SOURCE
port-a641dc3f4ec93903d922,Pondicherry,Pondicherry,Pondicherry,IN PNY,11.933333,79.833333,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0034,49430.0,UNIQUE_IN_SOURCE
port-ad5b2e8e77d8e4fc7a4c,Kochi (Cochin),Kochi (Cochin),Cochin (Kochi);Kochi (Cochin),IN KOC,9.966667,76.233333,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0015,49130.0,UNIQUE_IN_SOURCE
port-af581fe2a271caa3580c,Karaikal Port,Karaikal Port,Karaikal;Karaikal Port,IN KRK,10.833333,79.866667,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0025,49370.0,UNIQUE_IN_SOURCE
port-b0a3f127aacd737b4d1e,Vizhinjam,Vizhinjam,Vizhinjam,,,,India,,,india_daily_port_activity_2019_2024.csv,MANUAL_REVIEW,unresolved_port_alias,port2150,,MISSING
port-b2fb24927be7f0bd57b6,Pipavav Bandar,Pipavav Bandar,Pipavav;Pipavav Bandar,IN PAV,20.916667,71.516667,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0033,48730.0,UNIQUE_IN_SOURCE
