global_oil_snapshot_id,country_id,canonical_country_name,source_country_name,source_rank,rank,source_proven_reserves_barrels,proven_reserves_barrels,source_production_barrels_per_day,production_barrels_per_day,source_consumption_barrels_per_day,consumption_barrels_per_day,source_exports_barrels_per_day,exports_barrels_per_day,source_imports_barrels_per_day,imports_barrels_per_day,as_of_date,source_dataset,source_row_number,missing_metric_count,validation_status
global-oil-eca10e37bc003fe1a7a4,country-341cf9022a3e6469098e,Indonesia,Indonesia,26,26,4030000000,4030000000,825200.0,825200.0,1322000.0,1322000.0,338100.0,338100.0,388400.0,388400.0,,global_oil_country.csv,27,0,VALID
global-oil-79061c42ed3535b58fc9,country-6a9a10210588981dd8fa,Malaysia,Malaysia,27,27,4000000000,4000000000,515700.0,515700.0,542900.0,542900.0,269000.0,269000.0,160500.0,160500.0,,global_oil_country.csv,28,0,VALID
global-oil-aeb4100686df40b25c43,country-ddea6abd2ee5d012fb6a,South Sudan,South Sudan,28,28,3750000000,3750000000,220000.0,220000.0,,,291800.0,291800.0,0.0,0,,global_oil_country.csv,29,1,REVIEW
global-oil-bb5132a976b5faa82b43,country-0e98cc0b1589b955ff17,United Kingdom,United Kingdom,29,29,3122000000,3122000000,801300.0,801300.0,1217000.0,1217000.0,637800.0,637800.0,1053000.0,1053000.0,,global_oil_country.csv,30,0,VALID
global-oil-4f2c099bc7fbb324605b,country-cc3d6b2176eba4a5795a,Yemen,Yemen,30,30,3000000000,3000000000,129200.0,129200.0,177000.0,177000.0,175200.0,175200.0,0.0,0,,global_oil_country.csv,31,0,VALID
global-oil-20a7df91ca9e0878cbbe,country-3a73954246460ddeee5c,Argentina,Argentina,31,31,2805000000,2805000000,539800.0,539800.0,678100.0,678100.0,90920.0,90920.0,0.0,0,,global_oil_country.csv,32,0,VALID
global-oil-8ef3e0237f0e394cff68,country-38e64378dcc97326eee8,Syria,Syria,32,32,2500000000,2500000000,58000.0,58000.0,258800.0,258800.0,152400.0,152400.0,0.0,0,,global_oil_country.csv,33,0,VALID
global-oil-b8230492dfc2c643edac,country-431debec82077bf2d678,Uganda,Uganda,33,33,2500000000,2500000000,0.0,0,16930.0,16930.0,0.0,0,0.0,0,,global_oil_country.csv,34,0,VALID
global-oil-18d437d99bb52434af22,country-c91bd9c288c0a7c5ca1b,Colombia,Colombia,34,34,2200000000,2200000000,1003200.0,1003200.0,287000.0,287000.0,777900.0,777900.0,10.0,10.0,,global_oil_country.csv,35,0,VALID
global-oil-639bdc7037b7af3d22bc,country-67e218f2bddbbf8b1da1,Gabon,Gabon,35,35,2000000000,2000000000,243200.0,243200.0,15800.0,15800.0,225300.0,225300.0,0.0,0,,global_oil_country.csv,36,0,VALID
global-oil-cff53c6cdcb242ebfe8d,country-7f48a600768b114b5c99,Republic of the Congo,Republic of the Congo,36,36,1600000000,1600000000,265500.0,265500.0,10710.0,10710.0,290000.0,290000.0,0.0,0,,global_oil_country.csv,37,0,VALID
global-oil-d7f548d11a55293c77e7,country-2dec26043f679fdd6bb0,Chad,Chad,37,37,1500000000,1500000000,97900.0,97900.0,1817.0,1817.0,125700.0,125700.0,0.0,0,,global_oil_country.csv,38,0,VALID
global-oil-efb85f57cd899e0697a8,country-c585f1decb986f7ff19b,Australia,Australia,38,38,1433000000,1433000000,332400.0,332400.0,1023000.0,1023000.0,314100.0,314100.0,475900.0,475900.0,,global_oil_country.csv,39,0,VALID
global-oil-c24f963a06833d64e67b,country-eb2230485d2da72ff135,Sudan,Sudan,39,39,1250000000,1250000000,28830.0,28830.0,95450.0,95450.0,97270.0,97270.0,0.0,0,,global_oil_country.csv,40,0,VALID
global-oil-b9a334c38e72d8e301a9,country-0cd165045b47476a308e,Brunei,Brunei,40,40,1100000000,1100000000,122000.0,122000.0,14640.0,14640.0,147900.0,147900.0,0.0,0,,global_oil_country.csv,41,0,VALID
global-oil-1853244cc5004ba7e142,country-8e5afa94476a1439c6f7,Equatorial Guinea,Equatorial Guinea,41,41,1100000000,1100000000,269800.0,269800.0,1588.0,1588.0,319100.0,319100.0,0.0,0,,global_oil_country.csv,42,0,VALID
global-oil-5b923ff896a708687be5,country-5f0bf3ff6b72ac09f881,Denmark,Denmark,42,42,805000000,805000000,175400.0,175400.0,160200.0,160200.0,155200.0,155200.0,55010.0,55010.0,,global_oil_country.csv,43,0,VALID
global-oil-eb43f3490dc3c7d23347,country-1607b15340c3a58e5a71,Trinidad and Tobago,Trinidad and Tobago,43,43,728300000,728300000,81300.0,81300.0,41000.0,41000.0,75340.0,75340.0,70260.0,70260.0,,global_oil_country.csv,44,0,VALID
global-oil-929d4de625587eb3bcd0,country-fc4f9c94394e55c0c42b,Ghana,Ghana,44,44,660000000,660000000,97900.0,97900.0,61590.0,61590.0,0.0,0,32060.0,32060.0,,global_oil_country.csv,45,0,VALID
global-oil-42bc793140cef95ab251,country-700530bf6ed31b40c7bd,Turkmenistan,Turkmenistan,45,45,600000000,600000000,228500.0,228500.0,145000.0,145000.0,67000.0,67000.0,0.0,0,,global_oil_country.csv,46,0,VALID
global-oil-07cdeee4c58d6449a552,country-856f08f94e3316872671,Romania,Romania,46,46,600000000,600000000,85100.0,85100.0,218200.0,218200.0,1604.0,1604.0,122000.0,122000.0,,global_oil_country.csv,47,0,VALID
global-oil-e3400391d88cfa5bc5ae,country-1c438aa8cb197cc6b8a3,Uzbekistan,Uzbekistan,47,47,594000000,594000000,70000.0,70000.0,137100.0,137100.0,0.0,0,0.0,0,,global_oil_country.csv,48,0,VALID
global-oil-72c90e903e268e33515e,country-fdc224c5d68863446711,Peru,Peru,48,48,579200000,579200000,62900.0,62900.0,206900.0,206900.0,15610.0,15610.0,99590.0,99590.0,,global_oil_country.csv,49,0,VALID
global-oil-07c267a550eb043e2b8f,country-93ff074ca77b5f7e61e6,Italy,Italy,49,49,521300000,521300000,101800.0,101800.0,1454000.0,1454000.0,6300.0,6300.0,1591000.0,1591000.0,,global_oil_country.csv,50,0,VALID
global-oil-ceccc636a3748679e2ff,country-d299927fdea2d5a7e994,Thailand,Thailand,50,50,453300000,453300000,240600.0,240600.0,721100.0,721100.0,32200.0,32200.0,793900.0,793900.0,,global_oil_country.csv,51,0,VALID
global-oil-68f44dde1923eef46ccd,country-8e9f3fe372b3e2360007,Tunisia,Tunisia,51,51,425000000,425000000,62200.0,62200.0,88380.0,88380.0,77980.0,77980.0,3680.0,3680.0,,global_oil_country.csv,52,0,VALID
global-oil-8ec698e6786eccd0ae69,country-5c86f5a8ea4a73682e57,Ukraine,Ukraine,52,52,395000000,395000000,43200.0,43200.0,320600.0,320600.0,0.0,0,155300.0,155300.0,,global_oil_country.csv,53,0,VALID
global-oil-0871f6e1a4e2e9ee54f0,country-63c8807c2fd92b19aaf7,Netherlands,Netherlands,53,53,352000000,352000000,22900.0,22900.0,1010000.0,1010000.0,35500.0,35500.0,1202000.0,1202000.0,,global_oil_country.csv,54,0,VALID
global-oil-820f00221bef5ddb1591,country-8d7d5397f8842b4181d3,Turkey,Turkey,54,54,270400000,270400000,46200.0,46200.0,706100.0,706100.0,0.0,0,338900.0,338900.0,,global_oil_country.csv,55,0,VALID
global-oil-5cefd1341773ee06c78a,country-b2c01c8a8a0d9a99f145,Germany,Germany,55,55,254200000,254200000,55900.0,55900.0,2400000.0,2400000.0,14260.0,14260.0,1876000.0,1876000.0,,global_oil_country.csv,56,0,VALID
global-oil-83e7bddb3f5dc53e97d3,country-ad1d0a33d1475e29c577,Pakistan,Pakistan,56,56,247500000,247500000,59900.0,59900.0,426700.0,426700.0,0.0,0,151200.0,151200.0,,global_oil_country.csv,57,0,VALID
global-oil-8177c3e8b57a832e29ca,country-d27c899eb5eb67ca26e2,Bolivia,Bolivia,57,57,209800000,209800000,47000.0,47000.0,55560.0,55560.0,61.0,61.0,0.0,0,,global_oil_country.csv,58,0,VALID
global-oil-e8951518a748b0cfe073,country-1366ad3415239832b32d,Cameroon,Cameroon,58,58,200000000,200000000,62800.0,62800.0,29410.0,29410.0,55680.0,55680.0,34220.0,34220.0,,global_oil_country.csv,59,0,VALID
global-oil-00ca16fbdd0409fe8cd3,country-0b778819fc2789a0fe60,Belarus,Belarus,59,59,198000000,198000000,30000.0,30000.0,188800.0,188800.0,0.0,0,294800.0,294800.0,,global_oil_country.csv,60,0,VALID
global-oil-fbb5f5722fa94c6c8234,country-f69cfb3ddf10c1170014,Democratic Republic of the Congo,Democratic Republic of the Congo,60,60,180000000,180000000,20000.0,20000.0,10240.0,10240.0,22240.0,22240.0,0.0,0,,global_oil_country.csv,61,0,VALID
global-oil-ec04bac2c11372eb2470,country-e83f024f9a1156e097a7,Albania,Albania,61,61,172400000,172400000,17000.0,17000.0,38390.0,38390.0,23320.0,23320.0,0.0,0,,global_oil_country.csv,62,0,VALID
global-oil-48891ed166e00ff2df94,country-9cbbdd6cbd5335f528ec,Poland,Poland,62,62,156500000,156500000,19200.0,19200.0,576600.0,576600.0,3615.0,3615.0,547900.0,547900.0,,global_oil_country.csv,63,0,VALID
global-oil-07ed7113f8024c2724cd,country-55a119a7ff113034af2d,Papua New Guinea,Papua New Guinea,63,63,154300000,154300000,28100.0,28100.0,36320.0,36320.0,28400.0,28400.0,14880.0,14880.0,,global_oil_country.csv,64,0,VALID
global-oil-2c39c2a3ff44d8bc538f,country-4c799454ccf37279d378,Spain,Spain,64,64,150000000,150000000,8000.0,8000.0,1384000.0,1384000.0,0.0,0,1061000.0,1061000.0,,global_oil_country.csv,65,0,VALID
global-oil-423751a50ae2bde222f6,country-c42f580108029f094432,Chile,Chile,65,65,150000000,150000000,6700.0,6700.0,321700.0,321700.0,0.0,0,169700.0,169700.0,,global_oil_country.csv,66,0,VALID
global-oil-98605f4c2a6230a14a16,country-0f9a79acd620eca49149,Philippines,Philippines,66,66,138500000,138500000,21000.0,21000.0,315600.0,315600.0,20090.0,20090.0,182000.0,182000.0,,global_oil_country.csv,67,0,VALID
global-oil-aa1c95b7a20fce5c2724,country-a23061616678f32f71b5,Bahrain,Bahrain,67,67,124600000,124600000,48000.0,48000.0,51450.0,51450.0,152600.0,152600.0,256000.0,256000.0,,global_oil_country.csv,68,0,VALID
global-oil-8749acc0eb118fe30c0b,country-950662956e7592a1d712,Cuba,Cuba,68,68,124000000,124000000,50000.0,50000.0,150200.0,150200.0,83000.0,83000.0,165000.0,165000.0,,global_oil_country.csv,69,0,VALID
global-oil-8142b1639fd3b1ec58ab,country-a9e09665ee384ef81af3,Côte d'Ivoire,Côte d'Ivoire,69,69,100000000,100000000,37000.0,37000.0,24630.0,24630.0,32190.0,32190.0,49780.0,49780.0,,global_oil_country.csv,70,0,VALID
global-oil-91b5218111043214c483,country-2c598436e5575a5769b6,France,France,70,70,85180000,85180000,16000.0,16000.0,1792000.0,1792000.0,0.0,0,1298000.0,1298000.0,,global_oil_country.csv,71,0,VALID
global-oil-e72498561d791935952b,country-7112733729f24775a6e8,Austria,Austria,71,71,85000000,85000000,16200.0,16200.0,210700.0,210700.0,0.0,0,139000.0,139000.0,,global_oil_country.csv,72,0,VALID
global-oil-f6702b7697b0d4e2b541,country-5f211d4244df430c87a0,Guatemala,Guatemala,72,72,83070000,83070000,10000.0,10000.0,80810.0,80810.0,10960.0,10960.0,0.0,0,,global_oil_country.csv,73,0,VALID
global-oil-b0641d7b2ce9a2caff04,country-22c264294a1d038fb023,New Zealand,New Zealand,73,73,81400000,81400000,35300.0,35300.0,148900.0,148900.0,47290.0,47290.0,99810.0,99810.0,,global_oil_country.csv,74,0,VALID
global-oil-28d8875bb04a9367a635,country-467dda4df29b3ad6df89,Serbia,Serbia,74,74,77500000,77500000,16500.0,16500.0,72770.0,72770.0,0.0,0,33330.0,33330.0,,global_oil_country.csv,75,0,VALID
global-oil-af2ec6220d5dc0b793a7,country-0f0857451904a83978a9,Suriname,Suriname,75,75,76800000,76800000,15000.0,15000.0,14100.0,14100.0,7621.0,7621.0,1.0,1.0,,global_oil_country.csv,76,0,VALID
global-oil-bde3b08423b78bae0c9d,country-f17f6b658c4b6feb5425,Croatia,Croatia,76,76,71000000,71000000,12000.0,12000.0,74410.0,74410.0,0.0,0,51470.0,51470.0,,global_oil_country.csv,77,0,VALID
global-oil-5e00a86dd27d95eb9a50,country-9e9f4c6d624a3c810435,Burma,Burma,77,77,50000000,50000000,20000.0,20000.0,40620.0,40620.0,0.0,0,0.0,0,,global_oil_country.csv,78,0,VALID
global-oil-8b3db52aedb486bb0487,country-59ae856cd788d0f57e39,Japan,Japan,78,78,44120000,44120000,4700.0,4700.0,4464000.0,4464000.0,0.0,0,3472000.0,3472000.0,,global_oil_country.csv,79,0,VALID
global-oil-5d7b6476ccb071502736,country-92150179d1b63ac8803c,Kyrgyzstan,Kyrgyzstan,79,79,40000000,40000000,1000.0,1000.0,16640.0,16640.0,0.0,0,0.0,0,,global_oil_country.csv,80,0,VALID
global-oil-2186077c74f7de2e914b,country-1c18bc2214f67ae19bba,Georgia,Georgia,80,80,35000000,35000000,1000.0,1000.0,17280.0,17280.0,531.0,531.0,0.0,0,,global_oil_country.csv,81,0,VALID
global-oil-95b5b03cd0b4b0488803,country-8e07df26128d8a78474d,Bangladesh,Bangladesh,81,81,28000000,28000000,4000.0,4000.0,108900.0,108900.0,0.0,0,23620.0,23620.0,,global_oil_country.csv,82,0,VALID
global-oil-84f7bfd0aa4935877420,country-aa0db396b7d5266b3919,Hungary,Hungary,82,82,27320000,27320000,12000.0,12000.0,141100.0,141100.0,0.0,0,114800.0,114800.0,,global_oil_country.csv,83,0,VALID
global-oil-1905df74a91931ea770f,country-5f54f2d82d16e5bcef3d,Mauritania,Mauritania,83,83,20000000,20000000,6800.0,6800.0,18120.0,18120.0,7337.0,7337.0,0.0,0,,global_oil_country.csv,84,0,VALID
global-oil-eb3f5e3bf9377a6502fb,country-9e44a91f69c553dd6929,Bulgaria,Bulgaria,84,84,15000000,15000000,1000.0,1000.0,112700.0,112700.0,0.0,0,124700.0,124700.0,,global_oil_country.csv,85,0,VALID
global-oil-9fd5d214709c82639883,country-7a80542464c08d209975,South Africa,South Africa,85,85,15000000,15000000,3600.0,3600.0,590900.0,590900.0,0.0,0,385100.0,385100.0,,global_oil_country.csv,86,0,VALID
global-oil-2b3a6ee4f42b24e29a2c,country-141a3d757ed4518bf869,Czech Republic,Czech Republic,86,86,15000000,15000000,3000.0,3000.0,199000.0,199000.0,404.0,404.0,154000.0,154000.0,,global_oil_country.csv,87,0,VALID
global-oil-f24cf056af9c80b41526,country-3c9e5562b466ad00681f,Tajikistan,Tajikistan,87,87,12000000,12000000,553.0,553.0,20090.0,20090.0,0.0,0,0.0,0,,global_oil_country.csv,88,0,VALID
global-oil-6659ebf9c5a8bc823dc6,country-2a200e0c356ae8b4a137,Lithuania,Lithuania,88,88,12000000,12000000,9111.0,9111.0,70390.0,70390.0,2181.0,2181.0,190100.0,190100.0,,global_oil_country.csv,89,0,VALID
global-oil-aebebdbf8d975186a0df,country-77173ace11f118f4cfaa,Israel,Israel,89,89,11500000,11500000,5839.0,5839.0,238400.0,238400.0,0.0,0,260600.0,260600.0,,global_oil_country.csv,90,0,VALID
global-oil-98ca745ce4d43173b61f,country-4839625482ad85764b6c,Greece,Greece,90,90,10000000,10000000,7497.0,7497.0,343400.0,343400.0,17020.0,17020.0,405500.0,405500.0,,global_oil_country.csv,91,0,VALID
global-oil-3d2fb102f2b830cf2670,country-85e8b4499e5677a1b69f,Slovakia,Slovakia,91,91,9000000,9000000,9277.0,9277.0,83910.0,83910.0,263.0,263.0,108400.0,108400.0,,global_oil_country.csv,92,0,VALID
global-oil-e8c95dceaff12d6587fb,country-c94b56e02b7e9b04e57f,Benin,Benin,92,92,8000000,8000000,0.0,0,29170.0,29170.0,0.0,0,0.0,0,,global_oil_country.csv,93,0,VALID
global-oil-cbec734844054bfba2fa,country-01aa028bb4212190c27b,Belize,Belize,93,93,6700000,6700000,3239.0,3239.0,7044.0,7044.0,4345.0,4345.0,0.0,0,,global_oil_country.csv,94,0,VALID
global-oil-a8376db5d116e692c52e,country-fd8711d30c801fa6969f,Taiwan,Taiwan,94,94,2380000,2380000,21680.0,21680.0,786100.0,786100.0,0.0,0,885900.0,885900.0,,global_oil_country.csv,95,0,VALID
global-oil-7460931996017882b0b2,country-f5885b5927323e158a49,Barbados,Barbados,95,95,2260000,2260000,1001.0,1001.0,8339.0,8339.0,765.0,765.0,0.0,0,,global_oil_country.csv,96,0,VALID
