product_id,product,source_product_name,financial_year,financial_year_start,calendar_year,month_number,month_name,consumption_metric_tonnes,consumption_unit,source_dataset,source_row_number,validation_status
product-198fc08108a024c9da45,ATF,ATF,2024-25,2024,2024,6,JUN,707,metric_tonnes,india_petroleum_consumption.csv,40,VALID
product-198fc08108a024c9da45,ATF,ATF,2024-25,2024,2024,7,JUL,727,metric_tonnes,india_petroleum_consumption.csv,41,VALID
product-198fc08108a024c9da45,ATF,ATF,2024-25,2024,2024,8,AUG,732,metric_tonnes,india_petroleum_consumption.csv,42,VALID
product-198fc08108a024c9da45,ATF,ATF,2024-25,2024,2024,9,SEP,726,metric_tonnes,india_petroleum_consumption.csv,43,VALID
product-198fc08108a024c9da45,ATF,ATF,2024-25,2024,2024,10,OCT,757,metric_tonnes,india_petroleum_consumption.csv,44,VALID
product-198fc08108a024c9da45,ATF,ATF,2024-25,2024,2024,11,NOV,748,metric_tonnes,india_petroleum_consumption.csv,45,VALID
product-198fc08108a024c9da45,ATF,ATF,2024-25,2024,2024,12,DEC,782,metric_tonnes,india_petroleum_consumption.csv,46,VALID
product-198fc08108a024c9da45,ATF,ATF,2024-25,2024,2025,1,JAN,784,metric_tonnes,india_petroleum_consumption.csv,47,VALID
product-198fc08108a024c9da45,ATF,ATF,2024-25,2024,2025,2,FEB,735,metric_tonnes,india_petroleum_consumption.csv,48,VALID
product-198fc08108a024c9da45,ATF,ATF,2024-25,2024,2025,3,MAR,801,metric_tonnes,india_petroleum_consumption.csv,49,VALID
product-cdf634489bfbff660916,SKO,SKO,2024-25,2024,2024,4,APR,27,metric_tonnes,india_petroleum_consumption.csv,50,VALID
product-cdf634489bfbff660916,SKO,SKO,2024-25,2024,2024,5,MAY,30,metric_tonnes,india_petroleum_consumption.csv,51,VALID
product-cdf634489bfbff660916,SKO,SKO,2024-25,2024,2024,6,JUN,36,metric_tonnes,india_petroleum_consumption.csv,52,VALID
product-cdf634489bfbff660916,SKO,SKO,2024-25,2024,2024,7,JUL,41,metric_tonnes,india_petroleum_consumption.csv,53,VALID
product-cdf634489bfbff660916,SKO,SKO,2024-25,2024,2024,8,AUG,35,metric_tonnes,india_petroleum_consumption.csv,54,VALID
product-cdf634489bfbff660916,SKO,SKO,2024-25,2024,2024,9,SEP,36,metric_tonnes,india_petroleum_consumption.csv,55,VALID
product-cdf634489bfbff660916,SKO,SKO,2024-25,2024,2024,10,OCT,33,metric_tonnes,india_petroleum_consumption.csv,56,VALID
product-cdf634489bfbff660916,SKO,SKO,2024-25,2024,2024,11,NOV,36,metric_tonnes,india_petroleum_consumption.csv,57,VALID
product-cdf634489bfbff660916,SKO,SKO,2024-25,2024,2024,12,DEC,35,metric_tonnes,india_petroleum_consumption.csv,58,VALID
product-cdf634489bfbff660916,SKO,SKO,2024-25,2024,2025,1,JAN,35,metric_tonnes,india_petroleum_consumption.csv,59,VALID
product-cdf634489bfbff660916,SKO,SKO,2024-25,2024,2025,2,FEB,32,metric_tonnes,india_petroleum_consumption.csv,60,VALID
product-cdf634489bfbff660916,SKO,SKO,2024-25,2024,2025,3,MAR,33,metric_tonnes,india_petroleum_consumption.csv,61,VALID
product-a81277714f19fd11a0e0,HSD,HSD,2024-25,2024,2024,4,APR,7925,metric_tonnes,india_petroleum_consumption.csv,62,VALID
product-a81277714f19fd11a0e0,HSD,HSD,2024-25,2024,2024,5,MAY,8412,metric_tonnes,india_petroleum_consumption.csv,63,VALID
product-a81277714f19fd11a0e0,HSD,HSD,2024-25,2024,2024,6,JUN,7982,metric_tonnes,india_petroleum_consumption.csv,64,VALID
product-a81277714f19fd11a0e0,HSD,HSD,2024-25,2024,2024,7,JUL,7193,metric_tonnes,india_petroleum_consumption.csv,65,VALID
product-a81277714f19fd11a0e0,HSD,HSD,2024-25,2024,2024,8,AUG,6501,metric_tonnes,india_petroleum_consumption.csv,66,VALID
product-a81277714f19fd11a0e0,HSD,HSD,2024-25,2024,2024,9,SEP,6369,metric_tonnes,india_petroleum_consumption.csv,67,VALID
product-a81277714f19fd11a0e0,HSD,HSD,2024-25,2024,2024,10,OCT,7645,metric_tonnes,india_petroleum_consumption.csv,68,VALID
product-a81277714f19fd11a0e0,HSD,HSD,2024-25,2024,2024,11,NOV,8166,metric_tonnes,india_petroleum_consumption.csv,69,VALID
product-a81277714f19fd11a0e0,HSD,HSD,2024-25,2024,2024,12,DEC,8054,metric_tonnes,india_petroleum_consumption.csv,70,VALID
product-a81277714f19fd11a0e0,HSD,HSD,2024-25,2024,2025,1,JAN,7739,metric_tonnes,india_petroleum_consumption.csv,71,VALID
product-a81277714f19fd11a0e0,HSD,HSD,2024-25,2024,2025,2,FEB,7343,metric_tonnes,india_petroleum_consumption.csv,72,VALID
product-a81277714f19fd11a0e0,HSD,HSD,2024-25,2024,2025,3,MAR,8077,metric_tonnes,india_petroleum_consumption.csv,73,VALID
product-1fe5626b86832387d536,LDO,LDO,2024-25,2024,2024,4,APR,51,metric_tonnes,india_petroleum_consumption.csv,74,VALID
product-1fe5626b86832387d536,LDO,LDO,2024-25,2024,2024,5,MAY,62,metric_tonnes,india_petroleum_consumption.csv,75,VALID
product-1fe5626b86832387d536,LDO,LDO,2024-25,2024,2024,6,JUN,65,metric_tonnes,india_petroleum_consumption.csv,76,VALID
product-1fe5626b86832387d536,LDO,LDO,2024-25,2024,2024,7,JUL,61,metric_tonnes,india_petroleum_consumption.csv,77,VALID
product-1fe5626b86832387d536,LDO,LDO,2024-25,2024,2024,8,AUG,80,metric_tonnes,india_petroleum_consumption.csv,78,VALID
product-1fe5626b86832387d536,LDO,LDO,2024-25,2024,2024,9,SEP,71,metric_tonnes,india_petroleum_consumption.csv,79,VALID
product-1fe5626b86832387d536,LDO,LDO,2024-25,2024,2024,10,OCT,69,metric_tonnes,india_petroleum_consumption.csv,80,VALID
product-1fe5626b86832387d536,LDO,LDO,2024-25,2024,2024,11,NOV,80,metric_tonnes,india_petroleum_consumption.csv,81,VALID
product-1fe5626b86832387d536,LDO,LDO,2024-25,2024,2024,12,DEC,70,metric_tonnes,india_petroleum_consumption.csv,82,VALID
