port_id,source_dataset,source_record_key,source_port_name,source_world_port_index_number,source_un_locode,canonical_port_name,mapping_status,mapping_method,review_reason
port-251a9f32cbcedd0b8e47,india_world_port_index.csv,wpi_row_0041,Mumbai (Bombay),48840.0,IN BOM,Mumbai (Bombay),MAPPED,source_identity_preserved,
port-9b61088588cd94fb2a8d,india_world_port_index.csv,wpi_row_0042,Beypore,49110.0,IN BEY,Beypore,MAPPED,source_identity_preserved,
port-055c1dd065d4384a4009,india_world_port_index.csv,wpi_row_0043,Ratnagiri,48900.0,IN RTC,Ratnagiri,MAPPED,source_identity_preserved,
port-56639d8e695fa228aef3,india_world_port_index.csv,wpi_row_0044,Belekeri,49000.0,IN BLK,Belekeri,MAPPED,source_identity_preserved,
port-64624485ed615624d35d,india_world_port_index.csv,wpi_row_0045,Nagappattinam,49350.0,IN NPT,Nagappattinam,MAPPED,source_identity_preserved,
port-36dc5f2ad1ba3db4960f,india_world_port_index.csv,wpi_row_0046,Dahej,48674.0,IN DAH,Dahej,MAPPED,source_identity_preserved,
port-c4bd8b46758ca2002eba,india_world_port_index.csv,wpi_row_0047,Panaji,48960.0,IN PAN,Panaji,MAPPED,source_identity_preserved,
port-3d47752f26096102c677,india_world_port_index.csv,wpi_row_0048,Kattupalli Port,49454.5,INKRI,Kattupalli Port,MAPPED,source_identity_preserved,
port-39c7e661cbcd2de008a0,india_world_port_index.csv,wpi_row_0049,Pamban,49330.0,,Pamban,MAPPED,source_identity_preserved,
port-0fe64318e948fc83d467,india_world_port_index.csv,wpi_row_0050,Baleshwar,49550.0,,Baleshwar,MAPPED,source_identity_preserved,
port-fba259f9afed278d0baa,india_world_port_index.csv,wpi_row_0051,Machilipatnam,49460.0,,Machilipatnam,MANUAL_REVIEW,duplicate_source_identifier_preserved,Duplicate World Port Index number; preserve as separate source identity pending review.
port-9e0358499a29042c4276,india_world_port_index.csv,wpi_row_0052,Quilon (Kollam),49160.0,IN QUI,Quilon (Kollam),MAPPED,source_identity_preserved,
port-3e27b5a6fb79964c0dc5,india_world_port_index.csv,wpi_row_0053,Azhikal (Azhikkal),49040.0,IN AZK,Azhikal (Azhikkal),MAPPED,source_identity_preserved,
port-5066797b333fe76f36f7,india_world_port_index.csv,wpi_row_0054,Trivandrum,49170.0,IN TRV,Trivandrum,MAPPED,source_identity_preserved,
port-4f1934b24407cabc864e,india_world_port_index.csv,wpi_row_0055,Kolachel,49180.0,,Kolachel,MAPPED,source_identity_preserved,
port-1cf690aa3f276abd67e7,india_world_port_index.csv,wpi_row_0056,Calicut (Kozhikode),49100.0,IN CCJ,Calicut (Kozhikode),MAPPED,source_identity_preserved,
port-57f35d3b4c64a3da6b19,india_world_port_index.csv,wpi_row_0057,Port Blair,49720.0,IN IXZ,Port Blair,MAPPED,source_identity_preserved,
port-21bd5d045171a73e0012,india_daily_port_activity_2019_2024.csv,port1199,Sikka,,,Sikka,MAPPED,exact_port_name,
port-4438193452fc81328c0d,india_daily_port_activity_2019_2024.csv,port1331,V. O. Chidambaranar (Tuticorin),,,Tuticorin,MAPPED,explicit_safe_alias,
port-172252e2df5588dd95db,india_daily_port_activity_2019_2024.csv,port1367,Visakhapatnam,,,Vishakhapatnam,MAPPED,explicit_safe_alias,
port-3d47752f26096102c677,india_daily_port_activity_2019_2024.csv,port2038,Kattupalli,,,Kattupalli Port,MAPPED,explicit_safe_alias,
port-686ca2501d5e3ea23769,india_daily_port_activity_2019_2024.csv,port2039,Hazira,,,Hazira,MAPPED,exact_port_name,
port-42fee4d8d7b7216bf0bc,india_daily_port_activity_2019_2024.csv,port207,Calcutta,,,Calcutta,MAPPED,exact_port_name,
port-b0a3f127aacd737b4d1e,india_daily_port_activity_2019_2024.csv,port2150,Vizhinjam,,,Vizhinjam,MANUAL_REVIEW,unresolved_port_alias,Activity name does not have a safe unique World Port Index mapping. Candidate observed in source: none.
port-caaa368314c15ca3dc54,india_daily_port_activity_2019_2024.csv,port2151,Karwar,,,Karwar,MAPPED,exact_port_name,
port-57f35d3b4c64a3da6b19,india_daily_port_activity_2019_2024.csv,port2152,Port Blair,,,Port Blair,MAPPED,exact_port_name,
port-1c22246f55049f5ed930,india_daily_port_activity_2019_2024.csv,port235,Chennai (Madras),,,Chennai (Madras),MAPPED,exact_port_name,
port-36dc5f2ad1ba3db4960f,india_daily_port_activity_2019_2024.csv,port271,Dahej,,,Dahej,MAPPED,exact_port_name,
port-e223d4da714bf54f8a68,india_daily_port_activity_2019_2024.csv,port290,Dhamra Port,,,Dhamra,MAPPED,explicit_safe_alias,
port-4cbd3879645dac45799b,india_daily_port_activity_2019_2024.csv,port442,Haldia,,,Haldia Port,MAPPED,explicit_safe_alias,
port-d6ac74b82e6cc679b0ef,india_daily_port_activity_2019_2024.csv,port511,Jaigad Port,,,Jaigad Port,MANUAL_REVIEW,unresolved_port_alias,Activity name does not have a safe unique World Port Index mapping. Candidate observed in source: Jaigarh Bay.
port-6b8b2e5c6ef29c5f9573,india_daily_port_activity_2019_2024.csv,port529,Kakinada,,,Kakinada,MANUAL_REVIEW,unresolved_port_alias,Activity name does not have a safe unique World Port Index mapping. Candidate observed in source: Kakinada Bay.
port-06ae5404ea9499c64d02,india_daily_port_activity_2019_2024.csv,port534,Kamarajar Port,,,Kamarajar Port,MAPPED,exact_port_name,
port-3d0be208ea358054f9de,india_daily_port_activity_2019_2024.csv,port540,Deendayal (Kandla),,,Kandla,MAPPED,explicit_safe_alias,
port-af581fe2a271caa3580c,india_daily_port_activity_2019_2024.csv,port544,Karaikal,,,Karaikal Port,MAPPED,explicit_safe_alias,
port-ad5b2e8e77d8e4fc7a4c,india_daily_port_activity_2019_2024.csv,port583,Cochin (Kochi),,,Kochi (Cochin),MAPPED,explicit_safe_alias,
port-971812e9e27eb12158b9,india_daily_port_activity_2019_2024.csv,port599,Krishnapatnam Port,,,Krishnapatnam,MAPPED,explicit_safe_alias,
port-b5f86f0e981c94ada425,india_daily_port_activity_2019_2024.csv,port679,Magdalla,,,Magdalla,MAPPED,exact_port_name,
port-9f9cc159703727271039,india_daily_port_activity_2019_2024.csv,port709,Mormugao,,,Marmagao,MAPPED,explicit_safe_alias,
port-906d1268a74191acac1d,india_daily_port_activity_2019_2024.csv,port776,Mumbai-Jawaharlal Nehru (Nhava Sheva),,,Jawaharlal Nehru Port (Nhava Shiva),MAPPED,explicit_safe_alias,
port-cf886631046b9485fcf9,india_daily_port_activity_2019_2024.csv,port777,Mundra,,,Mundra,MAPPED,exact_port_name,
port-f7a9c9c9e2024b0f8338,india_daily_port_activity_2019_2024.csv,port801,Navlakhi,,,Navlakhi,MAPPED,exact_port_name,
port-faee4b72dfaea88f350c,india_daily_port_activity_2019_2024.csv,port811,New Mangalore,,,New Mangalore,MAPPED,exact_port_name,
port-0d287d6b94ae0d13cfff,india_daily_port_activity_2019_2024.csv,port883,Paradip,,,Paradip,MAPPED,exact_port_name,
port-b2fb24927be7f0bd57b6,india_daily_port_activity_2019_2024.csv,port907,Pipavav,,,Pipavav Bandar,MAPPED,explicit_safe_alias,
