country_id,canonical_name,source_name,source_normalized_name,source_dataset,country_code,mapping_status,mapping_method,review_reason
country-b2c01c8a8a0d9a99f145,Germany,Germany,Germany,global_oil_country.csv,,MAPPED,source_name_exact,
country-ad1d0a33d1475e29c577,Pakistan,Pakistan,Pakistan,global_oil_country.csv,,MAPPED,source_name_exact,
country-d27c899eb5eb67ca26e2,Bolivia,Bolivia,Bolivia,global_oil_country.csv,,MAPPED,source_name_exact,
country-1366ad3415239832b32d,Cameroon,Cameroon,Cameroon,global_oil_country.csv,,MAPPED,source_name_exact,
country-0b778819fc2789a0fe60,Belarus,Belarus,Belarus,global_oil_country.csv,,MAPPED,source_name_exact,
country-f69cfb3ddf10c1170014,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,global_oil_country.csv,,MAPPED,source_name_exact,
country-e83f024f9a1156e097a7,Albania,Albania,Albania,global_oil_country.csv,,MAPPED,source_name_exact,
country-9cbbdd6cbd5335f528ec,Poland,Poland,Poland,global_oil_country.csv,,MAPPED,source_name_exact,
country-55a119a7ff113034af2d,Papua New Guinea,Papua New Guinea,Papua New Guinea,global_oil_country.csv,,MAPPED,source_name_exact,
country-4c799454ccf37279d378,Spain,Spain,Spain,global_oil_country.csv,,MAPPED,source_name_exact,
country-c42f580108029f094432,Chile,Chile,Chile,global_oil_country.csv,,MAPPED,source_name_exact,
country-0f9a79acd620eca49149,Philippines,Philippines,Philippines,global_oil_country.csv,,MAPPED,source_name_exact,
country-a23061616678f32f71b5,Bahrain,Bahrain,Bahrain,global_oil_country.csv,,MAPPED,source_name_exact,
country-950662956e7592a1d712,Cuba,Cuba,Cuba,global_oil_country.csv,,MAPPED,source_name_exact,
country-a9e09665ee384ef81af3,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,global_oil_country.csv,,MAPPED,source_name_exact,
country-2c598436e5575a5769b6,France,France,France,global_oil_country.csv,,MAPPED,source_name_exact,
country-7112733729f24775a6e8,Austria,Austria,Austria,global_oil_country.csv,,MAPPED,source_name_exact,
country-5f211d4244df430c87a0,Guatemala,Guatemala,Guatemala,global_oil_country.csv,,MAPPED,source_name_exact,
country-22c264294a1d038fb023,New Zealand,New Zealand,New Zealand,global_oil_country.csv,,MAPPED,source_name_exact,
country-467dda4df29b3ad6df89,Serbia,Serbia,Serbia,global_oil_country.csv,,MAPPED,source_name_exact,
country-0f0857451904a83978a9,Suriname,Suriname,Suriname,global_oil_country.csv,,MAPPED,source_name_exact,
country-f17f6b658c4b6feb5425,Croatia,Croatia,Croatia,global_oil_country.csv,,MAPPED,source_name_exact,
country-9e9f4c6d624a3c810435,Burma,Burma,Burma,global_oil_country.csv,,MAPPED,source_name_exact,
country-59ae856cd788d0f57e39,Japan,Japan,Japan,global_oil_country.csv,,MAPPED,source_name_exact,
country-92150179d1b63ac8803c,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,global_oil_country.csv,,MAPPED,source_name_exact,
country-1c18bc2214f67ae19bba,Georgia,Georgia,Georgia,global_oil_country.csv,,MAPPED,source_name_exact,
country-8e07df26128d8a78474d,Bangladesh,Bangladesh,Bangladesh,global_oil_country.csv,,MAPPED,source_name_exact,
country-aa0db396b7d5266b3919,Hungary,Hungary,Hungary,global_oil_country.csv,,MAPPED,source_name_exact,
country-5f54f2d82d16e5bcef3d,Mauritania,Mauritania,Mauritania,global_oil_country.csv,,MAPPED,source_name_exact,
country-9e44a91f69c553dd6929,Bulgaria,Bulgaria,Bulgaria,global_oil_country.csv,,MAPPED,source_name_exact,
country-7a80542464c08d209975,South Africa,South Africa,South Africa,global_oil_country.csv,,MAPPED,source_name_exact,
country-141a3d757ed4518bf869,Czech Republic,Czech Republic,Czech Republic,global_oil_country.csv,,MAPPED,source_name_exact,
country-3c9e5562b466ad00681f,Tajikistan,Tajikistan,Tajikistan,global_oil_country.csv,,MAPPED,source_name_exact,
country-2a200e0c356ae8b4a137,Lithuania,Lithuania,Lithuania,global_oil_country.csv,,MAPPED,source_name_exact,
country-77173ace11f118f4cfaa,Israel,Israel,Israel,global_oil_country.csv,,MAPPED,source_name_exact,
country-4839625482ad85764b6c,Greece,Greece,Greece,global_oil_country.csv,,MAPPED,source_name_exact,
country-85e8b4499e5677a1b69f,Slovakia,Slovakia,Slovakia,global_oil_country.csv,,MAPPED,source_name_exact,
country-c94b56e02b7e9b04e57f,Benin,Benin,Benin,global_oil_country.csv,,MAPPED,source_name_exact,
country-01aa028bb4212190c27b,Belize,Belize,Belize,global_oil_country.csv,,MAPPED,source_name_exact,
