country_id,canonical_name,source_dataset,mapping_status
country-3f7351456856a4eecf6c,Guinea,global_oil_country.csv,CANONICAL
country-dcacc5666aba7cbb3d67,Guinea-Bissau,global_oil_country.csv,CANONICAL
country-63b911d37593d484cabb,Guyana,global_oil_country.csv,CANONICAL
country-08134d7a6fb39b220f63,Haiti,global_oil_country.csv,CANONICAL
country-5a381f836ae9e1bab04a,Honduras,global_oil_country.csv,CANONICAL
country-21bd3229a131a2cc251b,Hong Kong,global_oil_country.csv,CANONICAL
country-aa0db396b7d5266b3919,Hungary,global_oil_country.csv,CANONICAL
country-9eb5c59d70089e53cb31,Iceland,global_oil_country.csv,CANONICAL
country-fb54e9062429a9378555,India,global_oil_country.csv,CANONICAL
country-341cf9022a3e6469098e,Indonesia,global_oil_country.csv,CANONICAL
country-d4328f17fc46dfde5a0a,Iran,global_oil_country.csv,CANONICAL
country-818d76d6586437a090e7,Iraq,global_oil_country.csv,CANONICAL
country-32f987ecd36719a12041,Ireland,global_oil_country.csv,CANONICAL
country-77173ace11f118f4cfaa,Israel,global_oil_country.csv,CANONICAL
country-93ff074ca77b5f7e61e6,Italy,global_oil_country.csv,CANONICAL
country-ff63d149bd73429d489f,Jamaica,global_oil_country.csv,CANONICAL
country-59ae856cd788d0f57e39,Japan,global_oil_country.csv,CANONICAL
country-136c67657614311f3223,Jordan,global_oil_country.csv,CANONICAL
country-4451df5780fe1b2c96c5,Kazakhstan,global_oil_country.csv,CANONICAL
country-3b5f7a488f457a7e53fe,Kenya,global_oil_country.csv,CANONICAL
country-725789d8d08d48a36d53,Kiribati,global_oil_country.csv,CANONICAL
country-9ac506560edb9211e1b5,Kuwait,global_oil_country.csv,CANONICAL
country-92150179d1b63ac8803c,Kyrgyzstan,global_oil_country.csv,CANONICAL
country-84308789368f0cb09497,Laos,global_oil_country.csv,CANONICAL
country-15bc5d87cc42f41470cb,Latvia,global_oil_country.csv,CANONICAL
country-8a57a440886c59423289,Lebanon,global_oil_country.csv,CANONICAL
country-7a1de3309cef5e896951,Lesotho,global_oil_country.csv,CANONICAL
country-1a8ee6c730a37af2a823,Liberia,global_oil_country.csv,CANONICAL
country-f6b323fdd9f99c634640,Libya,global_oil_country.csv,CANONICAL
country-2a200e0c356ae8b4a137,Lithuania,global_oil_country.csv,CANONICAL
country-68f453c00d9c88ac8834,Luxembourg,global_oil_country.csv,CANONICAL
country-260048fecac2c70eec2c,Macau,global_oil_country.csv,CANONICAL
country-cda43d570683ca091ab1,Macedonia,global_oil_country.csv,CANONICAL
country-48a1b7dc93bad7588b46,Madagascar,global_oil_country.csv,CANONICAL
country-e46e98b84eb37c36ed4f,Malawi,global_oil_country.csv,CANONICAL
country-6a9a10210588981dd8fa,Malaysia,global_oil_country.csv,CANONICAL
country-b9aade37f226572c2fbc,Maldives,global_oil_country.csv,CANONICAL
country-937aa06da838dc105431,Mali,global_oil_country.csv,CANONICAL
country-79f9550e027130e35b20,Malta,global_oil_country.csv,CANONICAL
country-5f54f2d82d16e5bcef3d,Mauritania,global_oil_country.csv,CANONICAL
country-3562494677b9bd33a5af,Mauritius,global_oil_country.csv,CANONICAL
country-8be2978e343799a3747a,Mexico,global_oil_country.csv,CANONICAL
country-562017f663ea6e762a60,Moldova,global_oil_country.csv,CANONICAL
country-f830720f3e3bed7436b2,Montenegro,global_oil_country.csv,CANONICAL
country-3eeceb71042dec77ae77,Montserrat,global_oil_country.csv,CANONICAL
country-52118e19d4efe87556e2,Morocco,global_oil_country.csv,CANONICAL
country-2e8a238d84ee730c4be9,Mozambique,global_oil_country.csv,CANONICAL
country-62b09943d6869aafa20f,Namibia,global_oil_country.csv,CANONICAL
country-1620f91609560ef7072f,Nauru,global_oil_country.csv,CANONICAL
country-a23e9cdda7a3e0db6beb,Nepal,global_oil_country.csv,CANONICAL
country-63c8807c2fd92b19aaf7,Netherlands,global_oil_country.csv,CANONICAL
country-96abdb6afaa9e38dcf99,New Caledonia,global_oil_country.csv,CANONICAL
country-22c264294a1d038fb023,New Zealand,global_oil_country.csv,CANONICAL
country-53dafebc5552bc4301fd,Nicaragua,global_oil_country.csv,CANONICAL
country-3383e4237141bb9feeb2,Nigeria,global_oil_country.csv,CANONICAL
country-56979bcbcec308d6a9db,Niue,global_oil_country.csv,CANONICAL
country-831e4f1d6d77ed43a2da,North Korea,global_oil_country.csv,CANONICAL
country-1d43cfed6bbe6dd99196,Norway,global_oil_country.csv,CANONICAL
country-e883a76a30b245c29f32,Oman,global_oil_country.csv,CANONICAL
country-ad1d0a33d1475e29c577,Pakistan,global_oil_country.csv,CANONICAL
country-d1775cdbcf90d7864101,Panama,global_oil_country.csv,CANONICAL
country-55a119a7ff113034af2d,Papua New Guinea,global_oil_country.csv,CANONICAL
country-fa27e700926b5bbbae03,Paraguay,global_oil_country.csv,CANONICAL
country-fdc224c5d68863446711,Peru,global_oil_country.csv,CANONICAL
country-0f9a79acd620eca49149,Philippines,global_oil_country.csv,CANONICAL
country-9cbbdd6cbd5335f528ec,Poland,global_oil_country.csv,CANONICAL
country-6636b31811ee0bbf593d,Portugal,global_oil_country.csv,CANONICAL
country-f50b92b29527bc026aa0,Puerto Rico,global_oil_country.csv,CANONICAL
