world_port_index_number,port_name,alternate_port_name,un_locode,country,water_body,latitude,longitude,harbor_size,harbor_type,harbor_use,max_vessel_length_m,max_vessel_beam_m,max_vessel_draft_m,liquid_bulk_facility,oil_terminal_facility,wharf_facility,anchorage_facility
49430.0,Pondicherry,New Pondicherry; Pondicherri,IN PNY,India,Bay of Bengal; Indian Ocean,11.933333,79.833333,Very Small,Open Roadstead,Cargo,0.0,0.0,3.0,Unknown,Unknown,Unknown,Yes
48760.0,Bhavnagar, ,IN BHU,India,Arabian Sea; Indian Ocean,21.766667,72.233333,Small,River (Tide Gates),Cargo,78.9,14.8,4.0,Unknown,Unknown,Yes,Yes
49480.0,Vishakhapatnam,Vizagapatam,IN NRP,India,Bay of Bengal; Indian Ocean,17.683333,83.3,Medium,Coastal (Breakwater),Cargo,320.0,50.0,18.1,Unknown,Unknown,Yes,Yes
49535.0,Paradip, ,IN PPT,India,Bay of Bengal; Indian Ocean,20.266667,86.683333,Small,Coastal (Breakwater),Cargo,295.0,46.0,14.5,Unknown,Unknown,Yes,Unknown
49454.0,Kamarajar Port,Ennur,INENR,India,Bay of Bengal; Indian Ocean,13.26138889,80.3425,Small,Coastal (Breakwater),Cargo,365.9,48.2,15.0,Unknown,Unknown,Unknown,Unknown
49500.0,Gopalpur, ,IN GPR,India,Bay of Bengal; Indian Ocean,19.30194444,84.96666667,Small,Coastal (Breakwater),Cargo,240.0,36.0,13.5,Unknown,Unknown,Yes,Yes
48970.0,Marmagao, ,IN MRM,India,Arabian Sea; Indian Ocean,15.4175,73.795,Small,River (Natural),Cargo,335.0,50.0,14.1,Unknown,Unknown,Yes,Unknown
48840.0,Mumbai (Bombay), ,IN BOM,India,Arabian Sea; Indian Ocean,18.966667,72.866667,Large,Coastal (Tide Gates),Cargo,294.0,40.0,9.8,Unknown,Unknown,Yes,No
49110.0,Beypore,Beipur,IN BEY,India,Laccadive Sea; Indian Ocean,11.166667,75.8,Very Small,Open Roadstead,Cargo,72.1,12.8,0.0,Unknown,Unknown,Yes,Yes
48900.0,Ratnagiri, ,IN RTC,India,Arabian Sea; Indian Ocean,16.983333,73.283333,Very Small,Coastal (Natural),Fishing,177.0,0.0,9.5,Unknown,Unknown,No,Yes
49000.0,Belekeri, ,IN BLK,India,Arabian Sea; Indian Ocean,14.7,74.266667,Very Small,Open Roadstead,Cargo,0.0,0.0,0.0,Unknown,Unknown,Unknown,Yes
49350.0,Nagappattinam, ,IN NPT,India,Bay of Bengal; Indian Ocean,10.766667,79.85,Small,Open Roadstead,Cargo,0.0,0.0,0.0,Unknown,Unknown,No,Yes
48674.0,Dahej, ,IN DAH,India,Arabian Sea; Indian Ocean,21.7,72.533333,Very Small,Open Roadstead,Cargo,300.0,0.0,14.5,Unknown,Unknown,Yes,Yes
48960.0,Panaji, ,IN PAN,India,Arabian Sea; Indian Ocean,15.5,73.816667,Very Small,Coastal (Natural),Cargo,280.0,46.0,17.0,Unknown,Unknown,Unknown,Yes
