date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2024/05/24 00:00:00+00,2024,5,24,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,47660.8386794595,0.0,0.0,0.0,47660.8386794595,47660.8386794595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888522
2024/05/25 00:00:00+00,2024,5,25,port290,Dhamra Port,India,IND,0,3,0,0,0,3,3,0.0,55415.3617168186,0.0,0.0,0.0,55415.3617168186,55415.3617168186,0.0,60481.3303907797,0.0,0.0,0.0,60481.3303907797,60481.3303907797,1888523
2024/05/26 00:00:00+00,2024,5,26,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888524
2024/05/27 00:00:00+00,2024,5,27,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,44865.6921442996,0.0,0.0,0.0,44865.6921442996,44865.6921442996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888525
2024/05/28 00:00:00+00,2024,5,28,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,60206.6593427094,0.0,0.0,0.0,60206.6593427094,60206.6593427094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888526
2024/05/29 00:00:00+00,2024,5,29,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5847.56558518688,0.0,0.0,0.0,5847.56558518688,5847.56558518688,1888527
2024/05/30 00:00:00+00,2024,5,30,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,42517.3630358606,0.0,0.0,0.0,42517.3630358606,42517.3630358606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888528
2024/05/31 00:00:00+00,2024,5,31,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888529
2024/06/01 00:00:00+00,2024,6,1,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,64207.6838996617,0.0,0.0,0.0,64207.6838996617,64207.6838996617,0.0,36414.2112247506,0.0,0.0,0.0,36414.2112247506,36414.2112247506,1888530
2024/06/02 00:00:00+00,2024,6,2,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,6912.04304675112,0.0,0.0,0.0,6912.04304675112,6912.04304675112,0.0,35846.2387836044,0.0,0.0,0.0,35846.2387836044,35846.2387836044,1888531
2024/06/03 00:00:00+00,2024,6,3,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,6912.04304675112,0.0,0.0,0.0,6912.04304675112,6912.04304675112,0.0,30650.0157674817,0.0,0.0,0.0,30650.0157674817,30650.0157674817,1888532
2024/06/04 00:00:00+00,2024,6,4,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,81391.2995700609,0.0,0.0,0.0,81391.2995700609,81391.2995700609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888533
2024/06/05 00:00:00+00,2024,6,5,port290,Dhamra Port,India,IND,0,4,0,0,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88151.3424184954,0.0,0.0,0.0,88151.3424184954,88151.3424184954,1888534
2024/06/06 00:00:00+00,2024,6,6,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36721.4463352755,0.0,0.0,0.0,36721.4463352755,36721.4463352755,1888535
2024/06/07 00:00:00+00,2024,6,7,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888536
2024/06/08 00:00:00+00,2024,6,8,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888537
2024/06/09 00:00:00+00,2024,6,9,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66889.1541381034,0.0,0.0,0.0,66889.1541381034,66889.1541381034,1888538
2024/06/10 00:00:00+00,2024,6,10,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36195.7766825291,0.0,0.0,0.0,36195.7766825291,36195.7766825291,1888539
2024/06/11 00:00:00+00,2024,6,11,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,537.605782280407,0.0,0.0,0.0,537.605782280407,537.605782280407,0.0,33399.8497558639,0.0,0.0,0.0,33399.8497558639,33399.8497558639,1888540
2024/06/12 00:00:00+00,2024,6,12,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,56871.2317896924,0.0,0.0,0.0,56871.2317896924,56871.2317896924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888541
2024/06/13 00:00:00+00,2024,6,13,port290,Dhamra Port,India,IND,0,5,0,0,0,5,5,0.0,53626.4687933476,0.0,0.0,0.0,53626.4687933476,53626.4687933476,0.0,34044.9423266443,0.0,0.0,0.0,34044.9423266443,34044.9423266443,1888542
2024/06/14 00:00:00+00,2024,6,14,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888543
2024/06/15 00:00:00+00,2024,6,15,port290,Dhamra Port,India,IND,0,3,0,0,0,3,3,0.0,64792.7092248092,0.0,0.0,0.0,64792.7092248092,64792.7092248092,0.0,34696.8001898125,0.0,0.0,0.0,34696.8001898125,34696.8001898125,1888544
2024/06/16 00:00:00+00,2024,6,16,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,41801.8139529122,0.0,0.0,0.0,41801.8139529122,41801.8139529122,0.0,402.036488507065,0.0,0.0,0.0,402.036488507065,402.036488507065,1888545
2024/06/17 00:00:00+00,2024,6,17,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,8748.54740362984,0.0,0.0,0.0,8748.54740362984,8748.54740362984,0.0,53097.0880706179,0.0,0.0,0.0,53097.0880706179,53097.0880706179,1888546
2024/06/18 00:00:00+00,2024,6,18,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888547
2024/06/19 00:00:00+00,2024,6,19,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888548
2024/06/20 00:00:00+00,2024,6,20,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888549
2024/06/21 00:00:00+00,2024,6,21,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,83084.9430696214,0.0,0.0,0.0,83084.9430696214,83084.9430696214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888550
2024/06/22 00:00:00+00,2024,6,22,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74650.0590893857,0.0,0.0,0.0,74650.0590893857,74650.0590893857,1888551
2024/06/23 00:00:00+00,2024,6,23,port290,Dhamra Port,India,IND,0,4,0,0,0,4,4,0.0,103199.514236689,0.0,0.0,0.0,103199.514236689,103199.514236689,0.0,40929.112790586,0.0,0.0,0.0,40929.112790586,40929.112790586,1888552
2024/02/02 00:00:00+00,2024,2,2,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888553
2024/08/24 00:00:00+00,2024,8,24,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,43845.8156590775,0.0,0.0,0.0,43845.8156590775,43845.8156590775,0.0,45318.2895324682,0.0,0.0,0.0,45318.2895324682,45318.2895324682,1888554
2024/07/08 00:00:00+00,2024,7,8,port290,Dhamra Port,India,IND,0,3,0,0,0,3,3,0.0,76124.4536273812,0.0,0.0,0.0,76124.4536273812,76124.4536273812,0.0,25149.9282685382,0.0,0.0,0.0,25149.9282685382,25149.9282685382,1888555
2023/12/14 00:00:00+00,2023,12,14,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888556
2024/10/09 00:00:00+00,2024,10,9,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26106.9739842641,0.0,0.0,0.0,26106.9739842641,26106.9739842641,1888557
2024/10/10 00:00:00+00,2024,10,10,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888558
2024/02/03 00:00:00+00,2024,2,3,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888559
2024/10/11 00:00:00+00,2024,10,11,port290,Dhamra Port,India,IND,0,3,0,0,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74060.6901919147,0.0,0.0,0.0,74060.6901919147,74060.6901919147,1888560
2023/10/24 00:00:00+00,2023,10,24,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888561
2024/08/25 00:00:00+00,2024,8,25,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,1393.01364006504,0.0,0.0,0.0,1393.01364006504,1393.01364006504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888562
2024/07/09 00:00:00+00,2024,7,9,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11002.8156078091,0.0,0.0,0.0,11002.8156078091,11002.8156078091,1888563
2024/02/04 00:00:00+00,2024,2,4,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,9124.56264453091,0.0,0.0,0.0,9124.56264453091,9124.56264453091,0.0,11889.5883046938,0.0,0.0,0.0,11889.5883046938,11889.5883046938,1888564
2024/10/12 00:00:00+00,2024,10,12,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,696.143806875858,0.0,0.0,0.0,696.143806875858,696.143806875858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888565
2023/12/15 00:00:00+00,2023,12,15,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,34515.2055552781,0.0,0.0,0.0,34515.2055552781,34515.2055552781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888566
2023/10/25 00:00:00+00,2023,10,25,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888567
2024/08/26 00:00:00+00,2024,8,26,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,45354.0415766623,0.0,0.0,0.0,45354.0415766623,45354.0415766623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888568
2024/07/10 00:00:00+00,2024,7,10,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888569
2024/02/05 00:00:00+00,2024,2,5,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888570
2024/10/13 00:00:00+00,2024,10,13,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888571
2023/12/16 00:00:00+00,2023,12,16,port290,Dhamra Port,India,IND,0,3,0,0,0,3,3,0.0,77101.5375111661,0.0,0.0,0.0,77101.5375111661,77101.5375111661,0.0,36383.6804800489,0.0,0.0,0.0,36383.6804800489,36383.6804800489,1888572
2023/10/26 00:00:00+00,2023,10,26,port290,Dhamra Port,India,IND,0,3,0,0,0,3,3,0.0,182343.703105963,0.0,0.0,0.0,182343.703105963,182343.703105963,0.0,6674.90197151423,0.0,0.0,0.0,6674.90197151423,6674.90197151423,1888573
2024/08/27 00:00:00+00,2024,8,27,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32685.0709550909,0.0,0.0,0.0,32685.0709550909,32685.0709550909,1888574
2024/07/11 00:00:00+00,2024,7,11,port290,Dhamra Port,India,IND,0,3,0,0,0,3,3,0.0,42135.7276969384,0.0,0.0,0.0,42135.7276969384,42135.7276969384,0.0,49198.3041428753,0.0,0.0,0.0,49198.3041428753,49198.3041428753,1888575
2024/02/06 00:00:00+00,2024,2,6,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.18244253533,0.0,0.0,0.0,2010.18244253533,2010.18244253533,1888576
2023/12/17 00:00:00+00,2023,12,17,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,47255.1581183626,0.0,0.0,0.0,47255.1581183626,47255.1581183626,0.0,38678.9663082083,0.0,0.0,0.0,38678.9663082083,38678.9663082083,1888577
2023/10/27 00:00:00+00,2023,10,27,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33784.0795314268,0.0,0.0,0.0,33784.0795314268,33784.0795314268,1888578
2024/08/28 00:00:00+00,2024,8,28,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888579
2024/07/12 00:00:00+00,2024,7,12,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888580
2024/02/07 00:00:00+00,2024,2,7,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.864360870226,0.0,0.0,0.0,585.864360870226,585.864360870226,1888581
2024/10/14 00:00:00+00,2024,10,14,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,1197.3076857054,0.0,0.0,0.0,1197.3076857054,1197.3076857054,0.0,30650.0157674817,0.0,0.0,0.0,30650.0157674817,30650.0157674817,1888582
2023/12/18 00:00:00+00,2023,12,18,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888583
2023/10/28 00:00:00+00,2023,10,28,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888584
