financial_year,pc_code,pc_description,country_code,country_source_name,country_normalized,quantity_tonnes,quantity_unit,trade_value_source_units
2015-2016,S5,Petroleum: Crude,16409,Turkey,Turkey,406783.0,Ton,147.186721
2015-2016,S5,Petroleum: Crude,9277,Netherlandantil,Netherlandantil,321296.0,Ton,44.909452
2015-2016,S5,Petroleum: Crude,10205,Japan,Japan,315204.0,Ton,102.520904
2015-2016,S5,Petroleum: Crude,10217,Korea Rp,South Korea,271987.0,Ton,109.375237
2015-2016,S5,Petroleum: Crude,13275,Netherland,Netherlands,257336.0,Ton,32.715526
2015-2016,S5,Petroleum: Crude,2087,Congo P Rep,Republic of the Congo,254191.0,Ton,92.229625
2015-2016,S5,Petroleum: Crude,6015,Argentina,Argentina,228000.0,Ton,78.425348
2015-2016,S5,Petroleum: Crude,3167,Guinea,Guinea,178117.0,Ton,76.783776
2015-2016,S5,Petroleum: Crude,2399,Togo,Togo,145711.0,Ton,65.839223
2015-2016,S5,Petroleum: Crude,10077,China P Rp,China,145508.0,Ton,63.25927
2015-2016,S5,Petroleum: Crude,2199,Cote D' Ivoire,Cote D' Ivoire,144678.0,Ton,57.682579
2015-2016,S5,Petroleum: Crude,15344,Russia,Russia,144642.0,Ton,71.537862
2015-2016,S5,Petroleum: Crude,15021,Azerbaijan,Azerbaijan,138997.0,Ton,63.318822
2015-2016,S5,Petroleum: Crude,15410,Turkmenistan,Turkmenistan,135870.0,Ton,38.268877
2015-2016,S5,Petroleum: Crude,2459,Congo D. Rep.,Democratic Republic of the Congo,124306.0,Ton,47.739816
2015-2016,S5,Petroleum: Crude,10369,Sri Lanka Dsr,Sri Lanka,118184.0,Ton,22.687778
2015-2016,S5,Petroleum: Crude,4381,Sudan,Sudan,115826.0,Ton,35.913453
2015-2016,S5,Petroleum: Crude,10187,Indonesia,Indonesia,93241.0,Ton,23.859248
2015-2016,S5,Petroleum: Crude,2141,Gabon,Gabon,83097.0,Ton,29.485284
2015-2016,S5,Petroleum: Crude,10309,Pakistan Ir,Pakistan Ir,45705.0,Ton,20.724935
2015-2016,S5,Petroleum: Crude,5423,U S A,United States,44321.0,Ton,15.73527
2015-2016,S5,Petroleum: Crude,12195,Israel,Israel,8.0,Ton,0.051568
2015-2016,S5,Petroleum: Crude,5059,Canada,Canada,0.0,Ton,0.001535
2016-2017,S5,Petroleum: Crude,11351,Saudi Arab,Saudi Arabia,39334413.0,Ton,13674.08552
2016-2017,S5,Petroleum: Crude,11191,Iraq,Iraq,37758995.0,Ton,11616.72177
2016-2017,S5,Petroleum: Crude,10189,Iran,Iran,27140499.0,Ton,8908.606657
2016-2017,S5,Petroleum: Crude,6433,Venezuela,Venezuela,21439155.0,Ton,5505.878814
2016-2017,S5,Petroleum: Crude,11419,U Arab Emts,United Arab Emirates,19340961.0,Ton,6795.565372
2016-2017,S5,Petroleum: Crude,3291,Nigeria,Nigeria,17709359.0,Ton,6748.950404
2016-2017,S5,Petroleum: Crude,11219,Kuwait,Kuwait,9153864.0,Ton,2946.389913
2016-2017,S5,Petroleum: Crude,9259,Mexico,Mexico,7002708.0,Ton,1842.301821
2016-2017,S5,Petroleum: Crude,3011,Angola,Angola,5934975.0,Ton,2146.338653
2016-2017,S5,Petroleum: Crude,10245,Malaysia,Malaysia,5106524.0,Ton,1979.26078
